=== TRAINING LOGS ===

Epoch |   Train Loss |     Val Loss |  Train Acc |    Val Acc
-------------------------------------------------------
    1 |       1.7947 |       2.3741 |     0.3244 |     0.2578
    2 |       1.5594 |       2.3281 |     0.4418 |     0.2441
    3 |       1.4852 |       1.5477 |     0.4630 |     0.4393
    4 |       1.4372 |       1.6433 |     0.4909 |     0.4168
    5 |       1.3843 |       1.6446 |     0.5146 |     0.4355
    6 |       1.3606 |       1.7655 |     0.5245 |     0.3767
    7 |       1.3360 |       1.4624 |     0.5324 |     0.4906
    8 |       1.3082 |       1.6292 |     0.5343 |     0.4068
    9 |       1.2878 |       1.5543 |     0.5518 |     0.4431
   10 |       1.2781 |       1.7356 |     0.5445 |     0.4043
   11 |       1.2512 |       1.3951 |     0.5682 |     0.5294
   12 |       1.2275 |       1.4299 |     0.5734 |     0.4956
   13 |       1.2217 |       1.9320 |     0.5718 |     0.3730
   14 |       1.1997 |       1.4327 |     0.5737 |     0.5144
   15 |       1.1937 |       1.5012 |     0.5842 |     0.5019
   16 |       1.1632 |       1.5455 |     0.5920 |     0.4468
   17 |       1.1659 |       1.5702 |     0.5902 |     0.4343
   18 |       1.1343 |       1.4841 |     0.6045 |     0.4919
   19 |       1.1295 |       1.6305 |     0.6103 |     0.4656
   20 |       1.1263 |       1.4317 |     0.5990 |     0.5344
   21 |       1.1028 |       1.7799 |     0.6138 |     0.4043
   22 |       1.0924 |       1.3241 |     0.6129 |     0.5357
   23 |       1.0724 |       1.3878 |     0.6282 |     0.5219
   24 |       1.0537 |       1.3646 |     0.6315 |     0.5457
   25 |       1.0522 |       1.5277 |     0.6340 |     0.4718
   26 |       1.0327 |       1.4456 |     0.6431 |     0.5282
   27 |       1.0182 |       1.4449 |     0.6398 |     0.5144
   28 |       1.0122 |       2.1314 |     0.6442 |     0.3579
   29 |       1.0018 |       1.6747 |     0.6492 |     0.4481
   30 |       0.9950 |       1.4780 |     0.6482 |     0.5207
   31 |       0.9602 |       1.4219 |     0.6645 |     0.5044
   32 |       0.9646 |       1.4887 |     0.6620 |     0.5019
   33 |       0.9309 |       1.6089 |     0.6728 |     0.4718
   34 |       0.9329 |       1.4647 |     0.6687 |     0.5257
   35 |       0.9123 |       1.3244 |     0.6756 |     0.5407
   36 |       0.9074 |       1.4661 |     0.6864 |     0.5106
   37 |       0.9018 |       1.7038 |     0.6810 |     0.4731
   38 |       0.8785 |       1.8480 |     0.6907 |     0.4355
   39 |       0.8732 |       1.5568 |     0.6985 |     0.4981
   40 |       0.8498 |       1.5983 |     0.7031 |     0.5181
   41 |       0.8380 |       1.3808 |     0.7064 |     0.5407
   42 |       0.8079 |       1.5224 |     0.7168 |     0.5144
   43 |       0.8133 |       1.3678 |     0.7084 |     0.5394
   44 |       0.7822 |       1.5335 |     0.7292 |     0.5169
   45 |       0.7819 |       1.4236 |     0.7273 |     0.5695
   46 |       0.7523 |       1.5515 |     0.7407 |     0.5069
   47 |       0.7607 |       1.3369 |     0.7329 |     0.5569
   48 |       0.7201 |       1.5767 |     0.7471 |     0.5019
   49 |       0.7202 |       1.5105 |     0.7479 |     0.5244
   50 |       0.7189 |       1.5418 |     0.7500 |     0.4894

